iso3,year,tau_tamar,tau_mitchell,rgdp,gdp_deflator,cpi_gmd,unemployment_rate_pct,imports,exports,customs_revenue,ind_prod,ind_prod_base
ESP,1876,15.68998109640832,15.689981096408317,43330.71,0.1709676,0.1446975,,529.0,452.0,83.0,47.2,1913=100
ESP,1877,17.741935483870968,17.741935483870968,48220.6,0.1696336,0.1460845,,496.0,569.0,88.0,49.7,1913=100
ESP,1878,22.19917012448133,22.199170124481327,46521.0,0.1725134,0.145399,,482.0,536.0,107.0,48.6,1913=100
ESP,1879,21.26436781609195,21.264367816091955,43488.04,0.1809959,0.1464193,,522.0,544.0,111.0,47.6,1913=100
ESP,1880,18.26923076923077,18.26923076923077,47650.63,0.1749015,0.1485079,,624.0,737.0,114.0,49.1,1913=100
ESP,1881,21.080139372822302,21.0801393728223,48343.1,0.1819738,0.1494979,,574.0,759.0,121.0,53.8,1913=100
ESP,1882,20.509193776520508,20.509193776520508,48829.25,0.1896442,0.1549432,,707.0,768.0,145.0,55.2,1913=100
ESP,1883,15.513126491646782,15.513126491646778,49689.37,0.1894675,0.1476828,,838.0,838.0,130.0,59.3,1913=100
ESP,1884,17.546362339514978,17.546362339514978,50038.83,0.1819757,0.1344821,,701.0,721.0,123.0,59.0,1913=100
ESP,1885,18.129496402877702,18.1294964028777,48270.89,0.1854433,0.132832,,695.0,766.0,126.0,60.1,1913=100
ESP,1886,18.31955922865014,18.31955922865014,47296.01,0.1925289,0.131842,,726.0,623.0,133.0,55.5,1913=100
ESP,1887,19.420289855072458,19.420289855072465,46479.73,0.1793076,0.1270567,,690.0,760.0,134.0,53.8,1913=100
ESP,1888,14.792899408284018,14.792899408284024,48438.53,0.1816153,0.1293669,,676.0,817.0,100.0,56.3,1913=100
ESP,1889,15.338164251207731,15.33816425120773,48395.97,0.1658298,0.131512,,828.0,851.0,127.0,60.4,1913=100
ESP,1890,15.85798816568047,15.857988165680473,48270.89,0.1694568,0.1382773,,845.0,876.0,134.0,62.5,1913=100
ESP,1891,18.05929919137466,18.059299191374663,49235.45,0.1692717,0.1287068,,742.0,962.0,134.0,62.5,1913=100
ESP,1892,20.03105590062112,20.03105590062112,53523.14,0.1557115,0.132337,,644.0,998.0,129.0,65.8,1913=100
ESP,1893,26.34146341463415,26.341463414634145,51400.57,0.1561363,0.1288718,,615.0,906.0,162.0,71.8,1913=100
ESP,1894,21.88328912466843,21.883289124668433,52157.52,0.1509113,0.1240866,,754.0,904.0,165.0,69.1,1913=100
ESP,1895,15.98302687411598,15.983026874115984,51471.5,0.1559211,0.1311819,,707.0,915.0,113.0,68.8,1913=100
ESP,1896,14.99380421313507,14.993804213135068,46589.34,0.1623222,0.1250766,,807.0,1244.0,121.0,70.6,1913=100
ESP,1897,10.31042128603104,10.310421286031042,49719.03,0.1676253,0.1359672,,902.0,1349.0,93.0,66.8,1913=100
ESP,1898,12.590799031477001,12.590799031476998,53449.64,0.1674757,0.1493329,,826.0,1314.0,104.0,73.9,1913=100
ESP,1899,7.317073170731707,7.317073170731708,54158.88,0.1652825,0.1519731,,1025.0,1088.0,75.0,78.5,1913=100
ESP,1900,15.426997245179061,15.426997245179063,55408.43,0.1726968,0.1595635,,1089.0,1222.0,168.0,80.7,1937=100
ESP,1901,14.51048951048951,14.51048951048951,60142.28,0.1668023,0.1598935,,1144.0,1159.0,166.0,81.2,1937=100
ESP,1902,12.90322580645161,12.903225806451612,57640.6,0.1686866,0.1562633,,1085.0,1138.0,140.0,85.6,1937=100
ESP,1903,12.244897959183671,12.244897959183673,57703.79,0.1792004,0.1612135,,1176.0,1192.0,144.0,84.8,1937=100
ESP,1904,11.95928753180662,11.959287531806616,57119.63,0.191841,0.1641837,,1179.0,1253.0,141.0,80.9,1937=100
ESP,1905,13.598673300165839,13.598673300165837,56633.48,0.1853122,0.1650088,,1206.0,1279.0,164.0,81.5,1937=100
ESP,1906,17.64705882352941,17.647058823529413,60193.86,0.1794793,0.1605535,,1037.0,1334.0,183.0,87.0,1937=100
ESP,1907,15.28175740210124,15.281757402101242,61678.11,0.1801648,0.1673189,,1047.0,1344.0,160.0,92.1,1937=100
ESP,1908,15.36945812807882,15.369458128078819,64001.84,0.1736235,0.1626986,,1015.0,1166.0,156.0,95.3,1937=100
ESP,1909,16.35416666666667,16.354166666666668,65768.48,0.1713064,0.1605535,,960.0,1138.0,157.0,90.0,1937=100
